Date,Open,High,Low,Close,Adj Close,Volume
2022-11-01,63.270000,64.559998,63.070000,64.360001,64.360001,452400
2022-11-02,64.680000,64.989998,63.230000,63.310001,63.310001,215100
2022-11-03,62.900002,63.340000,62.209999,62.869999,62.869999,1371400
2022-11-04,63.869999,63.970001,62.299999,63.060001,63.060001,597200
2022-11-07,63.000000,65.190002,63.000000,64.959999,64.959999,254100
2022-11-08,65.449997,65.940002,64.879997,65.750000,65.750000,231200
2022-11-09,65.470001,66.169998,65.230003,65.349998,65.349998,166800
2022-11-10,66.480003,66.769997,65.900002,66.269997,66.269997,277800
2022-11-11,66.199997,66.930000,65.290001,66.650002,66.650002,339700
2022-11-14,66.709999,68.510002,66.190002,67.860001,67.860001,253600
2022-11-15,68.470001,69.430000,67.750000,67.919998,67.919998,205600
2022-11-16,67.680000,69.790001,67.559998,69.029999,69.029999,284900
2022-11-17,68.349998,68.459999,67.599998,68.300003,68.300003,223500
2022-11-18,68.410004,69.169998,68.309998,68.940002,68.940002,188200
2022-11-21,68.849998,69.290001,68.519997,69.239998,69.239998,101000
2022-11-22,69.059998,69.199997,67.800003,68.029999,68.029999,159900
2022-11-23,67.849998,69.099998,67.029999,68.379997,68.379997,107500
2022-11-25,68.330002,69.099998,68.220001,68.330002,68.330002,47200
2022-11-28,68.070000,69.120003,67.750000,68.070000,68.070000,168700
2022-11-29,68.070000,69.029999,67.099998,67.209999,67.209999,136500
2022-11-30,67.709999,68.720001,66.910004,68.309998,68.309998,329800
2022-12-01,68.599998,69.190002,68.239998,68.680000,68.680000,105800
2022-12-02,68.500000,69.239998,68.500000,68.769997,68.769997,84800
2022-12-05,68.320000,68.519997,66.449997,67.470001,67.470001,129300
2022-12-06,67.720001,68.339996,67.430000,68.290001,68.290001,121000
2022-12-07,68.300003,68.680000,66.980003,67.379997,67.379997,248500
2022-12-08,67.379997,67.379997,66.389999,66.389999,66.389999,252700
2022-12-09,66.309998,66.309998,65.550003,65.720001,65.720001,139800
2022-12-12,65.570000,67.300003,65.440002,67.250000,67.250000,108300
2022-12-13,67.690002,67.910004,66.989998,67.010002,67.010002,157900
2022-12-14,66.589996,67.309998,66.000000,66.870003,66.870003,483600
2022-12-15,66.959999,67.000000,66.010002,66.500000,66.500000,113300
2022-12-16,66.440002,67.309998,65.750000,67.139999,67.139999,248700
2022-12-19,67.970001,68.139999,67.309998,67.559998,67.559998,160300
2022-12-20,67.570000,68.440002,67.570000,67.669998,67.669998,105400
2022-12-21,67.959999,68.910004,67.919998,68.690002,68.690002,278300
2022-12-22,68.500000,68.769997,68.070000,68.750000,68.750000,123700
2022-12-23,68.529999,70.250000,68.500000,70.160004,70.160004,135700
